"Province.State","Country.Region","Lat","Long","Date","Confirmed","ID","Recovered","Deaths"
"Pakistan","Pakistan",30.3753,69.3451,2020-01-22,0,1,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-23,0,2,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-24,0,3,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-25,0,4,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-26,0,5,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-27,0,6,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-28,0,7,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-29,0,8,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-30,0,9,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-01-31,0,10,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-01,0,11,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-02,0,12,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-03,0,13,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-04,0,14,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-05,0,15,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-06,0,16,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-07,0,17,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-08,0,18,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-09,0,19,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-10,0,20,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-11,0,21,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-12,0,22,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-13,0,23,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-14,0,24,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-15,0,25,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-16,0,26,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-17,0,27,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-18,0,28,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-19,0,29,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-20,0,30,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-21,0,31,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-22,0,32,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-23,0,33,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-24,0,34,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-25,0,35,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-26,2,36,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-27,2,37,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-28,2,38,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-02-29,4,39,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-01,4,40,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-02,4,41,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-03,5,42,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-04,5,43,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-05,5,44,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-06,6,45,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-07,6,46,0,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-08,6,47,1,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-09,6,48,1,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-10,16,49,1,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-11,19,50,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-12,20,51,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-13,28,52,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-14,31,53,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-15,53,54,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-16,136,55,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-17,236,56,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-18,299,57,2,0
"Pakistan","Pakistan",30.3753,69.3451,2020-03-19,454,58,13,2
"Pakistan","Pakistan",30.3753,69.3451,2020-03-20,501,59,13,3
"Pakistan","Pakistan",30.3753,69.3451,2020-03-21,730,60,13,3
"Pakistan","Pakistan",30.3753,69.3451,2020-03-22,776,61,5,5
"Pakistan","Pakistan",30.3753,69.3451,2020-03-23,875,62,5,6
"Pakistan","Pakistan",30.3753,69.3451,2020-03-24,972,63,18,7
"Pakistan","Pakistan",30.3753,69.3451,2020-03-25,1063,64,21,8
"Pakistan","Pakistan",30.3753,69.3451,2020-03-26,1201,65,21,9
"Pakistan","Pakistan",30.3753,69.3451,2020-03-27,1373,66,23,11
"Pakistan","Pakistan",30.3753,69.3451,2020-03-28,1495,67,29,12
"Pakistan","Pakistan",30.3753,69.3451,2020-03-29,1597,68,29,14
"Pakistan","Pakistan",30.3753,69.3451,2020-03-30,1717,69,76,21
"Pakistan","Pakistan",30.3753,69.3451,2020-03-31,1938,70,76,26
"Pakistan","Pakistan",30.3753,69.3451,2020-04-01,2118,71,94,27
"Pakistan","Pakistan",30.3753,69.3451,2020-04-02,2421,72,125,34
"Pakistan","Pakistan",30.3753,69.3451,2020-04-03,2686,73,126,40
"Pakistan","Pakistan",30.3753,69.3451,2020-04-04,2818,74,131,41
"Pakistan","Pakistan",30.3753,69.3451,2020-04-05,3157,75,211,47
"Pakistan","Pakistan",30.3753,69.3451,2020-04-06,3766,76,259,53
"Pakistan","Pakistan",30.3753,69.3451,2020-04-07,4035,77,429,57
"Pakistan","Pakistan",30.3753,69.3451,2020-04-08,4263,78,467,61
"Pakistan","Pakistan",30.3753,69.3451,2020-04-09,4489,79,572,65
"Pakistan","Pakistan",30.3753,69.3451,2020-04-10,4695,80,727,66
"Pakistan","Pakistan",30.3753,69.3451,2020-04-11,5011,81,762,86
"Pakistan","Pakistan",30.3753,69.3451,2020-04-12,5230,82,1028,91
"Pakistan","Pakistan",30.3753,69.3451,2020-04-13,5496,83,1095,93
"Pakistan","Pakistan",30.3753,69.3451,2020-04-14,5837,84,1378,96
"Pakistan","Pakistan",30.3753,69.3451,2020-04-15,6383,85,1446,111
"Pakistan","Pakistan",30.3753,69.3451,2020-04-16,6919,86,1645,128
"Pakistan","Pakistan",30.3753,69.3451,2020-04-17,7025,87,1765,135
"Pakistan","Pakistan",30.3753,69.3451,2020-04-18,7638,88,1832,143
"Pakistan","Pakistan",30.3753,69.3451,2020-04-19,8348,89,1868,168
"Pakistan","Pakistan",30.3753,69.3451,2020-04-20,8418,90,1970,176
"Pakistan","Pakistan",30.3753,69.3451,2020-04-21,9565,91,2073,201
"Pakistan","Pakistan",30.3753,69.3451,2020-04-22,10076,92,2156,212
"Pakistan","Pakistan",30.3753,69.3451,2020-04-23,11155,93,2527,237
"Pakistan","Pakistan",30.3753,69.3451,2020-04-24,11940,94,2755,253
"Pakistan","Pakistan",30.3753,69.3451,2020-04-25,12723,95,2866,269
"Pakistan","Pakistan",30.3753,69.3451,2020-04-26,13328,96,2936,281
"Pakistan","Pakistan",30.3753,69.3451,2020-04-27,13915,97,3029,292
"Pakistan","Pakistan",30.3753,69.3451,2020-04-28,14612,98,3233,312
"Pakistan","Pakistan",30.3753,69.3451,2020-04-29,15525,99,3425,343
"Pakistan","Pakistan",30.3753,69.3451,2020-04-30,16817,100,4315,385
"Pakistan","Pakistan",30.3753,69.3451,2020-05-01,18114,101,4715,417
"Pakistan","Pakistan",30.3753,69.3451,2020-05-02,19103,102,4817,440
"Pakistan","Pakistan",30.3753,69.3451,2020-05-03,20084,103,5114,457
"Pakistan","Pakistan",30.3753,69.3451,2020-05-04,20941,104,5635,476
"Pakistan","Pakistan",30.3753,69.3451,2020-05-05,22049,105,5801,514
"Pakistan","Pakistan",30.3753,69.3451,2020-05-06,24073,106,6464,564
"Pakistan","Pakistan",30.3753,69.3451,2020-05-07,24644,107,6464,585
"Pakistan","Pakistan",30.3753,69.3451,2020-05-08,26435,108,7530,599
"Pakistan","Pakistan",30.3753,69.3451,2020-05-09,28736,109,7809,636
"Pakistan","Pakistan",30.3753,69.3451,2020-05-10,30334,110,8063,659
"Pakistan","Pakistan",30.3753,69.3451,2020-05-11,32081,111,8555,706
"Pakistan","Pakistan",30.3753,69.3451,2020-05-12,34336,112,8812,737
"Pakistan","Pakistan",30.3753,69.3451,2020-05-13,35298,113,8899,761
"Pakistan","Pakistan",30.3753,69.3451,2020-05-14,35788,114,9695,770
"Pakistan","Pakistan",30.3753,69.3451,2020-05-15,38799,115,10880,834
"Pakistan","Pakistan",30.3753,69.3451,2020-05-16,38799,116,10880,834
"Pakistan","Pakistan",30.3753,69.3451,2020-05-17,40151,117,11341,873
"Pakistan","Pakistan",30.3753,69.3451,2020-05-18,42125,118,11922,903
"Pakistan","Pakistan",30.3753,69.3451,2020-05-19,43966,119,12489,939
"Pakistan","Pakistan",30.3753,69.3451,2020-05-20,45898,120,13101,985
"Pakistan","Pakistan",30.3753,69.3451,2020-05-21,48091,121,14155,1017
"Pakistan","Pakistan",30.3753,69.3451,2020-05-22,50694,122,15201,1067
"Pakistan","Pakistan",30.3753,69.3451,2020-05-23,52437,123,16653,1101
"Pakistan","Pakistan",30.3753,69.3451,2020-05-24,54601,124,17198,1133
"Pakistan","Pakistan",30.3753,69.3451,2020-05-25,56349,125,17482,1167
"Pakistan","Pakistan",30.3753,69.3451,2020-05-26,57705,126,18314,1197
"Pakistan","Pakistan",30.3753,69.3451,2020-05-27,59151,127,19142,1225
